Combination_Index,C,gamma,epsilon,R2
299,0.03162277660168379,0.023357214690901212,0.2,-0.013280031553219551
300,0.03162277660168379,0.023357214690901212,0.5,-0.013280031553219551
301,0.03162277660168379,0.04281332398719392,0.001,-0.012908369419295962
302,0.03162277660168379,0.04281332398719392,0.01,-0.012908369419295962
303,0.03162277660168379,0.04281332398719392,0.05,-0.012908369419296184
304,0.03162277660168379,0.04281332398719392,0.1,-0.012908369419296184
305,0.03162277660168379,0.04281332398719392,0.2,-0.012908369419295962
306,0.03162277660168379,0.04281332398719392,0.5,-0.012908369419295962
307,0.03162277660168379,0.07847599703514607,0.001,-0.014511728604460927
308,0.03162277660168379,0.07847599703514607,0.01,-0.014511728604460927
309,0.03162277660168379,0.07847599703514607,0.05,-0.014511728604460927
310,0.03162277660168379,0.07847599703514607,0.1,-0.014511728604460927
311,0.03162277660168379,0.07847599703514607,0.2,-0.014511728604460927
312,0.03162277660168379,0.07847599703514607,0.5,-0.014511728604460927
313,0.03162277660168379,0.14384498882876628,0.001,-0.01705388447332168
314,0.03162277660168379,0.14384498882876628,0.01,-0.01705388447332168
315,0.03162277660168379,0.14384498882876628,0.05,-0.01705388447332168
316,0.03162277660168379,0.14384498882876628,0.1,-0.01705388447332168
317,0.03162277660168379,0.14384498882876628,0.2,-0.01705388447332168
318,0.03162277660168379,0.14384498882876628,0.5,-0.017053884473321235
319,0.03162277660168379,0.26366508987303583,0.001,-0.019046928583507095
320,0.03162277660168379,0.26366508987303583,0.01,-0.019046928583507095
321,0.03162277660168379,0.26366508987303583,0.05,-0.019046928583507095
322,0.03162277660168379,0.26366508987303583,0.1,-0.019046928583507095
323,0.03162277660168379,0.26366508987303583,0.2,-0.019046928583507095
324,0.03162277660168379,0.26366508987303583,0.5,-0.01904679036574497
325,0.03162277660168379,0.4832930238571752,0.001,-0.0200982821075002
326,0.03162277660168379,0.4832930238571752,0.01,-0.0200982821075002
327,0.03162277660168379,0.4832930238571752,0.05,-0.0200982821075002
328,0.03162277660168379,0.4832930238571752,0.1,-0.0200982821075002
329,0.03162277660168379,0.4832930238571752,0.2,-0.0200982821075002
330,0.03162277660168379,0.4832930238571752,0.5,-0.0200982348070069
331,0.03162277660168379,0.8858667904100823,0.001,-0.020531574148743292
332,0.03162277660168379,0.8858667904100823,0.01,-0.020531574148743292
333,0.03162277660168379,0.8858667904100823,0.05,-0.020531574148743292
334,0.03162277660168379,0.8858667904100823,0.1,-0.020531574148743292
335,0.03162277660168379,0.8858667904100823,0.2,-0.020531574148743292
336,0.03162277660168379,0.8858667904100823,0.5,-0.020531555311402716
337,0.03162277660168379,1.623776739188721,0.001,-0.020685267030948085
